Pais,log_PIB_pc,Inflacion,Expectativa_vida,Calidad_de_vida
China,9.278933163441794,4.3,77.47,103.15
Japan,10.682743619630342,0.4,85.03,162.32
Germany,10.81069717567409,1.4,81.88,176.76
India,7.757051142032013,5.91,70.42,104.52
United Kingdom,10.66697669415232,1.5,81.77,158.99
France,10.691012660306134,0.7,83.13,150.73
Italy,10.452446760283022,0.1,84.01,138.63
Brazil,9.173468897200278,3.3,76.57,104.75
Canada,10.78180639115673,0.9,82.96,159.99
South Korea,10.4341158035983,1.0,83.5,130.02
Russia,9.343821763350663,2.5,72.99,101.67
Spain,10.374303351882421,0.0,83.99,164.48
Mexico,9.206633510044856,3.25,75.41,120.29
Indonesia,8.383433201236713,2.96,72.32,90.1
Turkey,9.161045080251306,2.651349693251535,78.45,125.97
Saudi Arabia,10.01485002038959,1.5,75.69,147.37
Poland,9.742085645994678,4.6,79.27,132.65
Taiwan,10.187312194660604,-0.01,81.04,138.82
Belgium,10.770735088230952,0.62,82.17,150.89
Thailand,8.965206802770357,-0.54,77.74,100.29
Argentina,9.332558004700433,2.651349693251535,77.17,110.5
Nigeria,7.760893195851024,2.651349693251535,55.75,52.0
Iran,8.670772279344538,2.651349693251535,77.33,64.73
United Arab Emirates,10.713372778495833,-1.3,78.46,156.03
Israel,10.735483214914881,0.0,83.49,144.14
Malaysia,9.41450495669259,-0.2,76.65,116.94
Philippines,8.161375023197486,2.5,71.66,78.39
South Africa,8.77043908654689,4.1,64.88,132.19
Colombia,8.836664586357426,3.86,77.87,101.33
Bangladesh,7.6324011266014535,5.48,73.57,65.27
Egypt,8.064007347096661,5.1,72.54,86.31
Chile,9.700207901150696,3.7,80.74,99.9
Finland,10.861515060390364,0.6,82.48,182.79
Vietnam,7.964155718840937,4.9,75.77,88.38
Romania,9.529303064460995,3.1,76.5,131.71
Czech Republic,10.094892728063126,3.4,73.70217821782177,156.33
Portugal,10.109607012844542,0.0,82.65,161.91
Iraq,8.69901462316851,0.9,71.08,130.80168674698797
Peru,8.898228985601227,1.82,77.44,83.3
Greece,10.009018053745592,0.0,82.8,129.86
New Zealand,10.742421965162054,2.5,82.8,175.77
Algeria,8.372629740224884,1.7,77.5,130.80168674698797
Hungary,9.82271124250884,3.9,77.31,134.01
Kazakhstan,9.141526055975824,6.4,73.9,96.42
Ukraine,8.12740456269308,2.3,72.5,107.35
Kuwait,10.405353154930607,1.7,75.85,113.98
Morocco,8.147867129923947,1.5,77.43,104.42
Slovakia,9.975761701406148,2.3,78.0,149.68
Kenya,7.592870287844818,6.06,67.47,75.77
Ecuador,8.70317470904168,0.18,77.71,118.76
Puerto Rico,10.513606322644657,1.0,80.69,130.77
Ethiopia,6.736966958001855,2.651349693251535,67.81,130.80168674698797
Angola,7.952263308657046,2.651349693251535,62.22,130.80168674698797
Dominican Republic,9.018937706446035,3.66,74.65,130.80168674698797
Sri Lanka,8.339023005744759,5.4,77.56,79.78
Guatemala,8.4767877767812,1.24,75.05,130.80168674698797
Oman,9.687319614958344,-0.29,78.58,172.08
Panama,9.754407329521975,0.0,79.1,110.32
Ghana,7.7306140660637395,7.8,64.94,130.80168674698797
Bulgaria,9.249849505070895,3.0,75.49,126.34
Myanmar,7.172424577124845,9.09,67.78,130.80168674698797
Venezuela,7.80057265467065,2.651349693251535,72.34,130.80168674698797
Tanzania,6.961296045910167,3.4,66.39,130.80168674698797
Croatia,9.669283053862493,0.6,79.02,156.1
Belarus,8.816111895794005,4.9,75.2,107.35
Costa Rica,9.421330367117822,1.91,80.94,121.65
Uruguay,9.809012024313242,9.16,78.43,124.63
Lebanon,9.099967314494812,10.04,79.27,94.47
Slovenia,10.240102636097088,0.5,81.85,168.2
Lithuania,9.971800192718215,1.8,76.41,160.02
Turkmenistan,9.140668698726863,2.651349693251535,68.63,130.80168674698797
Serbia,8.785692444451245,1.3,76.47,116.24
Uzbekistan,7.399398083331354,2.651349693251535,72.04,130.80168674698797
Dr Congo,6.342121418721152,2.651349693251535,73.70217821782177,130.80168674698797
Libya,8.888204871455022,0.9,73.44,130.80168674698797
Ivory Coast,7.519692404116539,2.4,73.70217821782177,130.80168674698797
Azerbaijan,8.442254104751743,3.0,73.33,102.88
Bolivia,8.288031567776464,1.3,72.35,130.80168674698797
Jordan,8.416930769477844,2.1,75.01,114.04
Paraguay,8.745921121024347,2.5,74.59,130.80168674698797
Cameroon,7.342131730584722,2.4,60.32,130.80168674698797
Bahrain,10.055521708391627,0.1,77.73,130.80168674698797
Latvia,9.92373125901317,1.4,75.73,147.59
Tunisia,7.987864096085687,6.2,77.36,130.80168674698797
Uganda,6.569481420414296,3.0,64.38,130.80168674698797
Estonia,10.129825994746858,0.9,79.18,173.56
Nepal,7.014814351275545,6.9,71.74,130.80168674698797
Yemen,6.9363427358340495,2.651349693251535,66.44,130.80168674698797
Cambodia,7.455876687491824,3.07,70.54,130.80168674698797
El Salvador,8.372398606513004,-0.5,74.06,130.80168674698797
Senegal,7.397561535524052,2.5,68.87,130.80168674698797
Cyprus,9.983914801648742,0.7,81.51,144.06
Zimbabwe,7.444248649496705,2.651349693251535,62.16,130.80168674698797
Honduras,7.8399193600125825,3.99,75.87,130.80168674698797
Zambia,7.197435354096591,2.651349693251535,64.7,130.80168674698797
Trinidad And Tobago,9.71456425210761,2.651349693251535,73.70217821782177,130.80168674698797
Papua New Guinea,7.793586803371584,3.3,65.22,130.80168674698797
Laos,8.000684784514748,6.24,68.89,130.80168674698797
Bosnia And Herzegovina,8.785692444451245,2.651349693251535,73.70217821782177,125.71
Botswana,9.071882578828616,2.2,69.86,130.80168674698797
Afghanistan,6.251903883165888,3.7,65.98,130.80168674698797
Mali,6.831953565565855,-1.4,60.54,130.80168674698797
Georgia,8.465057436995709,6.1,74.24,118.87
Gabon,8.968523555396352,1.0,67.03,130.80168674698797
Albania,8.697846691109495,2.1,78.96,130.80168674698797
Jamaica,8.634442751466477,4.8,74.88,130.80168674698797
Malta,10.51591262801771,1.2,83.06,130.80168674698797
Mozambique,6.2285110035911835,3.09,62.13,130.80168674698797
Burkina Faso,6.6293632534374485,0.7,62.98,130.80168674698797
Mauritius,9.423352776090933,2.2,75.51,130.80168674698797
Mongolia,8.41027590907016,6.4,70.53,130.80168674698797
Namibia,8.63994165667529,2.4,64.86,130.80168674698797
Brunei,10.384183811320607,1.4,76.35,130.80168674698797
Armenia,8.449342524508063,-0.1,75.55,130.80168674698797
Bahamas,10.449931253903864,1.68,74.28,130.80168674698797
North Macedonia,8.791486026749002,2.651349693251535,76.26,108.47
Guinea,6.915723448631314,9.3,62.64,130.80168674698797
Madagascar,6.16541785423142,4.0,68.21,130.80168674698797
Moldova,8.064321960910803,5.9,72.3,130.80168674698797
Chad,6.60934924316738,1.0,55.17,130.80168674698797
Nicaragua,7.527793987721444,6.13,75.23,130.80168674698797
Equatorial Guinea,9.042868018032435,1.8,59.82,130.80168674698797
Benin,6.881411303642535,3.5,62.84,130.80168674698797
Republic Of The Congo,7.605392364814935,2.651349693251535,73.70217821782177,130.80168674698797
Rwanda,6.725033642166843,2.651349693251535,70.0,130.80168674698797
Niger,6.0473721790462776,0.3,63.62,130.80168674698797
Haiti,6.728628613084702,2.651349693251535,64.99,130.80168674698797
Kyrgyzstan,7.1891677384203225,5.9,71.95,130.80168674698797
Somalia,6.234410725718371,5.2,58.34,130.80168674698797
Eritrea,7.720461694599722,2.651349693251535,67.48,130.80168674698797
Malawi,5.991464547107982,9.8,65.62,130.80168674698797
Tajikistan,6.6895992691789665,7.8,71.76,130.80168674698797
Maldives,9.343909263897597,1.7,79.89,130.80168674698797
Togo,6.583409222158765,-0.3,62.13,130.80168674698797
Montenegro,9.120306249272202,0.0,77.39,130.80168674698797
Mauritania,7.084226422097916,3.2,65.57,130.80168674698797
Fiji,8.74528448245438,-2.8,67.91,130.80168674698797
Barbados,9.828602355344339,7.2,79.64,130.80168674698797
Eswatini,8.31996102188653,2.8,61.05,130.80168674698797
Guyana,8.671115273688494,2.1,70.26,130.80168674698797
Sierra Leone,6.249975242259483,2.651349693251535,55.92,130.80168674698797
Suriname,8.798152718107191,4.2,72.13,130.80168674698797
Burundi,5.713732805509369,5.1,62.71,130.80168674698797
East Timor,7.8399193600125825,2.651349693251535,73.70217821782177,130.80168674698797
Liberia,6.431331081933479,2.651349693251535,65.0,130.80168674698797
Aruba,10.22324951845132,5.5,76.79,130.80168674698797
Bhutan,8.234299635696253,2.5,72.77,130.80168674698797
Lesotho,7.199678345691172,4.1,55.65,130.80168674698797
South Sudan,5.5053315359323625,2.651349693251535,58.74,130.80168674698797
Djibouti,7.860570785538664,3.3,67.87,130.80168674698797
Central African Republic,6.22455842927536,3.0,54.36,130.80168674698797
Cape Verde,8.276394704863307,1.6,73.70217821782177,130.80168674698797
Belize,8.539932678385727,0.2,75.09,130.80168674698797
Saint Lucia,9.325453179076687,2.651349693251535,76.67,130.80168674698797
Gambia,6.62273632394984,7.36,63.26,130.80168674698797
Antigua And Barbuda,9.815912380280174,2.651349693251535,73.70217821782177,130.80168674698797
Seychelles,9.774630930411124,0.85,73.74,130.80168674698797
San Marino,10.802672816507345,2.651349693251535,73.70217821782177,130.80168674698797
Guinea Bissau,6.71901315438526,2.651349693251535,73.70217821782177,130.80168674698797
Solomon Islands,7.733245646529795,2.651349693251535,73.38,130.80168674698797
Grenada,9.373139262281274,2.651349693251535,72.59,130.80168674698797
Saint Kitts And Nevis,9.946547041996576,2.651349693251535,73.70217821782177,130.80168674698797
Vanuatu,8.058643712215618,2.9,70.99,130.80168674698797
Samoa,8.475537516147405,2.651349693251535,73.75,130.80168674698797
Saint Vincent And The Grenadines,9.001592700945706,2.651349693251535,73.70217821782177,130.80168674698797
Comoros,6.76849321164863,3.6,65.03,130.80168674698797
Dominica,9.008835995765454,2.651349693251535,73.70217821782177,130.80168674698797
Sao Tome And Principe,7.765993079407675,2.651349693251535,73.70217821782177,130.80168674698797
Tonga,8.475537516147405,2.651349693251535,71.32,130.80168674698797
Micronesia,8.11552088154677,2.651349693251535,74.08,130.80168674698797
Micronesia,8.11552088154677,2.651349693251535,68.27,130.80168674698797
Palau,9.788805952452513,2.651349693251535,73.70217821782177,130.80168674698797
Marshall Islands,8.249313746260636,2.651349693251535,73.70217821782177,130.80168674698797
Kiribati,7.387090235656757,2.651349693251535,69.17,130.80168674698797
Nauru,9.283404942833188,2.651349693251535,73.70217821782177,130.80168674698797
Tuvalu,8.398860004454372,2.651349693251535,73.70217821782177,130.80168674698797
Andorra,10.517375052110442,2.651349693251535,73.70217821782177,130.80168674698797
British Virgin Islands,10.371207325767013,2.651349693251535,73.70217821782177,130.80168674698797
Cook Islands,9.712387577930592,2.651349693251535,73.70217821782177,130.80168674698797
Cuba,8.977777598745481,5.9,79.18,130.80168674698797
French Polynesia,9.86141477611422,2.651349693251535,78.23,130.80168674698797
Palestine,7.84971375760487,1.11,73.70217821782177,130.80168674698797
Greenland,10.600078795498629,2.651349693251535,73.70217821782177,130.80168674698797
North Korea,6.47543271670409,2.651349693251535,72.89,130.80168674698797
Montserrat,9.430920640887228,2.651349693251535,73.70217821782177,130.80168674698797
Curacao,9.849084163656741,2.651349693251535,73.70217821782177,130.80168674698797
Sint Maarten,10.114356072974726,2.651349693251535,73.70217821782177,130.80168674698797
New Caledonia,10.397360284649457,-0.5,78.16,130.80168674698797
Pakistan,7.134093721192866,10.74,67.79,105.14
Anguilla,10.013551987398436,2.651349693251535,73.70217821782177,130.80168674698797
Sudan,7.520776415062797,2.651349693251535,66.09,130.80168674698797
Syria,7.10085190894405,3.8,76.06,130.80168674698797
Turks And Caicos Islands,10.05997834929556,2.651349693251535,73.70217821782177,130.80168674698797
Sao Tome and Principe,8.60608359567499,8.1,73.70217821782177,130.80168674698797
Republic of the Congo,8.60608359567499,7.54,73.70217821782177,130.80168674698797
Cayman Islands,8.60608359567499,3.4,73.70217821782177,130.80168674698797
Macau,8.60608359567499,2.47,73.70217821782177,130.80168674698797
Hong Kong,8.60608359567499,2.3,85.29,99.34
Iceland,8.60608359567499,2.1,83.52,179.1
Australia,8.60608359567499,1.8,83.94,181.52
Faroe Islands,8.60608359567499,1.6,73.70217821782177,130.80168674698797
Austria,8.60608359567499,1.6,82.05,182.37
United States,8.60608359567499,1.5,79.11,166.98
Netherlands,8.60608359567499,1.4,82.78,183.31
Luxembourg,8.60608359567499,0.9,82.79,130.80168674698797
Ireland,8.60608359567499,0.7,82.81,150.89
Norway,8.60608359567499,0.7,82.94,173.57
Guinea-Bissau,8.60608359567499,0.6,59.38,130.80168674698797
Sweden,8.60608359567499,0.6,83.33,171.4
Bermuda,8.60608359567499,0.5,73.70217821782177,130.80168674698797
Trinidad and Tobago,8.60608359567499,0.4,73.91,130.80168674698797
Denmark,8.60608359567499,0.4,81.4,190.01
Bosnia and Herzegovina,8.60608359567499,0.3,77.93,130.80168674698797
Timor-Leste,8.60608359567499,0.2,70.18,130.80168674698797
Singapore,8.60608359567499,0.0,84.07,143.82
Liechtenstein,8.60608359567499,-0.1,73.70217821782177,130.80168674698797
Switzerland,8.60608359567499,-0.5,84.25,190.82
Qatar,8.60608359567499,-1.4,80.73,154.58
Macao,8.60608359567499,2.651349693251535,84.68,130.80168674698797
Channel Islands,8.60608359567499,2.651349693251535,83.6,130.80168674698797
Martinique,8.60608359567499,2.651349693251535,83.13,130.80168674698797
Guadeloupe,8.60608359567499,2.651349693251535,82.74,130.80168674698797
Réunion,8.60608359567499,2.651349693251535,81.55,130.80168674698797
U.S. Virgin Islands,8.60608359567499,2.651349693251535,81.17,130.80168674698797
Guam,8.60608359567499,2.651349693251535,80.74,130.80168674698797
French Guiana,8.60608359567499,2.651349693251535,80.53,130.80168674698797
Mayotte,8.60608359567499,2.651349693251535,79.85,130.80168674698797
Czech Republic (Czechia),8.60608359567499,2.651349693251535,79.85,130.80168674698797
Curaçao,8.60608359567499,2.651349693251535,79.41,130.80168674698797
Antigua and Barbuda,8.60608359567499,2.651349693251535,77.47,130.80168674698797
State of Palestine,8.60608359567499,2.651349693251535,74.62,130.80168674698797
Cabo Verde,8.60608359567499,2.651349693251535,73.58,130.80168674698797
St. Vincent & Grenadines,8.60608359567499,2.651349693251535,72.98,130.80168674698797
Western Sahara,8.60608359567499,2.651349693251535,71.08,130.80168674698797
Sao Tome & Principe,8.60608359567499,2.651349693251535,71.01,130.80168674698797
Congo,8.60608359567499,2.651349693251535,65.21,130.80168674698797
DR Congo,8.60608359567499,2.651349693251535,61.6,130.80168674698797
Côte d'Ivoire,8.60608359567499,2.651349693251535,58.75,130.80168674698797
