Pais,Poblacion,log_PIB_pc,Expectativa_vida,Inflacion,Calidad_de_vida,Gini
China,1444216107,9.278933163441794,77.47,4.3,103.15,38.5
Japan,126050804,10.682743619630342,85.03,0.4,162.32,32.9
Germany,83900473,10.81069717567409,81.88,1.4,176.76,31.9
India,1393409038,7.757051142032013,70.42,5.91,104.52,35.7
United Kingdom,68207116,10.66697669415232,81.77,1.5,158.99,34.95
France,65426179,10.691012660306134,83.13,0.7,150.73,32.0
Italy,60367477,10.452446760283022,84.01,0.1,138.63,35.9
Brazil,213993437,9.173468897200278,76.57,3.3,104.75,53.65
Canada,38067903,10.78180639115673,82.96,0.9,159.99,33.3
South Korea,51305186,10.4341158035983,83.5,1.0,130.02,33.4
Russia,145912025,9.343821763350663,72.99,2.5,101.67,37.5
Spain,46745216,10.374303351882421,83.99,0.0,164.48,34.7
Mexico,130262216,9.206633510044856,75.41,3.25,120.29,41.099999999999994
Indonesia,276361783,8.383433201236713,72.32,2.96,90.1,38.0
Saudi Arabia,35340683,10.01485002038959,75.69,1.5,147.37,45.9
Poland,37797005,9.742085645994678,79.27,4.6,132.65,29.95
Taiwan,23855010,10.187312194660604,81.04,-0.01,138.82,33.6
Belgium,11632326,10.770735088230952,82.17,0.62,150.89,27.299999999999997
Thailand,69950850,8.965206802770357,77.74,-0.54,100.29,35.65
United Arab Emirates,9991089,10.713372778495833,78.46,-1.3,156.03,29.25
Israel,8789774,10.735483214914881,83.49,0.0,144.14,38.0
Malaysia,32776194,9.41450495669259,76.65,-0.2,116.94,41.05
Philippines,111046913,8.161375023197486,71.66,2.5,78.39,43.349999999999994
Colombia,51265844,8.836664586357426,77.87,3.86,101.33,50.849999999999994
Bangladesh,166303498,7.6324011266014535,73.57,5.48,65.27,32.4
Egypt,104258327,8.064007347096661,72.54,5.1,86.31,31.5
Chile,19212361,9.700207901150696,80.74,3.7,99.9,44.4
Finland,5548360,10.861515060390364,82.48,0.6,182.79,27.35
Vietnam,98168833,7.964155718840937,75.77,4.9,88.38,35.7
Romania,19127774,9.529303064460995,76.5,3.1,131.71,35.9
Portugal,10167925,10.109607012844542,82.65,0.0,161.91,33.65
Peru,33359418,8.898228985601227,77.44,1.82,83.3,42.15
Greece,10370744,10.009018053745592,82.8,0.0,129.86,33.65
New Zealand,4860643,10.742421965162054,82.8,2.5,175.77,36.2
Hungary,9634164,9.82271124250884,77.31,3.9,134.01,30.1
Kazakhstan,18994962,9.141526055975824,73.9,6.4,96.42,27.65
Ukraine,43466819,8.12740456269308,72.5,2.3,107.35,26.35
Morocco,37344795,8.147867129923947,77.43,1.5,104.42,39.5
Slovakia,5460721,9.975761701406148,78.0,2.3,149.68,25.2
Kenya,54985698,7.592870287844818,67.47,6.06,75.77,40.8
Ecuador,17888475,8.70317470904168,77.71,0.18,118.76,45.55
Sri Lanka,21497310,8.339023005744759,77.56,5.4,79.78,39.55
Panama,4381579,9.754407329521975,79.1,0.0,110.32,49.5
Bulgaria,6896663,9.249849505070895,75.49,3.0,126.34,40.849999999999994
Croatia,4081651,9.669283053862493,79.02,0.6,156.1,30.049999999999997
Belarus,9442862,8.816111895794005,75.2,4.9,107.35,25.25
Costa Rica,5139052,9.421330367117822,80.94,1.91,121.65,48.1
Uruguay,3485151,9.809012024313242,78.43,9.16,124.63,39.7
Lebanon,6769146,9.099967314494812,79.27,10.04,94.47,31.8
Slovenia,2078724,10.240102636097088,81.85,0.5,168.2,24.4
Lithuania,2689862,9.971800192718215,76.41,1.8,160.02,36.5
Serbia,8697550,8.785692444451245,76.47,1.3,116.24,36.2
Azerbaijan,10223342,8.442254104751743,73.33,3.0,102.88,30.150000000000002
Jordan,10269021,8.416930769477844,75.01,2.1,114.04,33.7
Latvia,1866942,9.92373125901317,75.73,1.4,147.59,35.35
Estonia,1325185,10.129825994746858,79.18,0.9,173.56,30.35
Cyprus,1215584,9.983914801648742,81.51,0.7,144.06,32.05
Georgia,3979765,8.465057436995709,74.24,6.1,118.87,36.15
Pakistan,225199937,7.134093721192866,67.79,10.74,105.14,32.55
